pert_id,pert_iname,mCS_homo,mCS_hetero,target_organ,OrganScore,efficacy_z,specificity,GSE92742,GSE70138,robustness,composite_score,rank
BRD-K81258678,triptolide,,-0.6456828509189525,blood,0.6456828509189525,14.05005638952202,0.631588253455824,,-0.6243510150182838,0.5,5.959499031845556,1
BRD-A76941896,doxorubicin,,-0.4278303897107149,blood,0.4278303897107149,9.203798803469581,0.4137357922475864,-0.4090222716604109,,0.5,3.9556402590621085,2
BRD-K11927976,ER-27319,,-0.3815031739305178,blood,0.3815031739305178,8.1732223313458,0.3674085764673893,-0.3082490595520571,,0.5,3.5295115054785366,3
BRD-K53780220,BRD-K53780220,,-0.3761290262107477,blood,0.3761290262107477,8.053671218583263,0.36203442874761915,-0.3196504825236008,,0.5,3.480078816057591,4
BRD-K53417444,OTS-167,,-0.3606612528073779,blood,0.3606612528073779,7.709581398437652,0.34656665534424935,,-0.3579566745639956,0.5,3.3378025559783358,5
BRD-A73909368,dactinomycin,,-0.3367611993960174,blood,0.3367611993960174,7.17791049369102,0.3226666019328889,-0.2534724583956015,,0.5,3.117964178056275,6
BRD-K70549064,staurosporine,,-0.33120709951844735,blood,0.33120709951844735,7.054356238136211,0.3171125020553188,-0.3293237360702866,,0.5,3.06687624587108,7
BRD-A52530684,doxorubicin,,-0.32355078063356607,blood,0.32355078063356607,6.884036870288329,0.30945618317043755,-0.3014741390949943,,0.5,2.996451603066463,8
BRD-K26304855,BRD-K26304855,,-0.31378542427705525,blood,0.31378542427705525,6.666800709352743,0.2996908268139267,-0.30190950644514325,,0.5,2.906627531785275,9
BRD-K43389675,daunorubicin,,-0.3077725265446558,blood,0.3077725265446558,6.533040222607798,0.2936779290815273,-0.2387597952453526,,0.5,2.8513194677675773,10
BRD-K87909389,alvocidib,,-0.2912333848313344,blood,0.2912333848313344,6.16511717711893,0.27713878736820585,-0.2814662903650012,-0.2741364074617902,0.9868073302549426,2.8452307061345166,11
BRD-A30437061,camptothecin,,-0.3053520144415737,blood,0.3053520144415737,6.479194491067126,0.2912574169784452,-0.28226011604306434,,0.5,2.829055021520384,12
BRD-A59985574,topotecan,,-0.30410827963701675,blood,0.30410827963701675,6.451526870521586,0.29001368217388823,-0.3611208183913769,,0.5,2.817614852860801,13
BRD-K04548931,epirubicin,,-0.29882783804780655,blood,0.29882783804780655,6.334060306373129,0.284733240584678,-0.2986146021427461,,0.5,2.769044094724655,14
BRD-K06543683,bisindolylmaleimide-ix,,-0.2968014430653794,blood,0.2968014430653794,6.288981944616458,0.2827068456022509,-0.2879144968290465,,0.5,2.7504048315272587,15
BRD-K72238567,fludarabine,,-0.29664278927988613,blood,0.29664278927988613,6.285452596785184,0.2825481918167576,-0.2830450026819817,,0.5,2.7489454962591013,16
BRD-K01896723,BRD-K01896723,,-0.29068220892772517,blood,0.29068220892772517,6.152855941283902,0.27658761146459665,-0.27121376946775677,,0.5,2.69411865995294,17
BRD-K69650333,idarubicin,,-0.2893975690972365,blood,0.2893975690972365,6.124278364104731,0.275302971634108,-0.2817810763771882,,0.5,2.682302237132125,18
BRD-K17210248,daunorubicin,,-0.28620574614459154,blood,0.28620574614459154,6.053274363912113,0.272111148681463,-0.24067297616251485,,0.5,2.652943090169284,19
BRD-K92158425,BRD-K92158425,,-0.2808410884494011,blood,0.2808410884494011,5.933934362391358,0.26674649098627257,-0.27149716653927636,,0.5,2.603597692252425,20
BRD-K81258678,triptolide,,-0.38084328617107027,brain,0.38084328617107027,9.99278153642369,0.3755903256380344,,-0.37641789385874486,0.5,4.259789712260887,1
BRD-A76941896,doxorubicin,,-0.2538635254981374,brain,0.2538635254981374,6.614417075633946,0.2486105649651015,-0.2524479014310705,,0.5,2.870349999743109,2
BRD-K25731886,BRD-K25731886,0.2227269234114934,-0.024808632060185683,brain,0.24753555547167908,6.44605804791933,0.24228259493864318,0.0001290588680086,,0.5,2.801107997649325,3
BRD-K53417444,OTS-167,,-0.24149917347891195,brain,0.24149917347891195,6.285456875826692,0.23624621294587606,,-0.2321871590386718,0.5,2.73505661421444,4
BRD-K70549064,staurosporine,0.0104196430519494,-0.21924707314283615,brain,0.22966671619478554,5.970648019984941,0.22441375566174965,-0.2127884795011366,,0.5,2.6055833346925015,5
BRD-A73909368,dactinomycin,,-0.2295782397127197,brain,0.2295782397127197,5.968294055848902,0.2243252791796838,-0.2007942980900665,,0.5,2.6046152060934658,6
BRD-A30437061,camptothecin,-0.0010980883974836,-0.20490045902200613,brain,0.20380237062452253,5.282513269902781,0.19854941009148663,-0.1637847978712434,,0.5,2.3225701309885585,7
BRD-K69650333,idarubicin,,-0.2013554950322332,brain,0.2013554950322332,5.21741283580875,0.19610253449919732,-0.21009048419856752,,0.5,2.295795894673259,8
BRD-K26304855,BRD-K26304855,,-0.2004209325977586,brain,0.2004209325977586,5.1925483022934396,0.1951679720647227,-0.19942662427345595,,0.5,2.2855697125367924,9
BRD-K92158425,BRD-K92158425,,-0.19741123125714727,brain,0.19741123125714727,5.1124735880805,0.19215827072411137,-0.19571553545478385,,0.5,2.2526369164494335,10
BRD-K53780220,BRD-K53780220,,-0.19645078176639857,brain,0.19645078176639857,5.086920315584684,0.19119782123336268,-0.1380217702941316,,0.5,2.2421274726038822,11
BRD-K79222491,BRD-K79222491,,-0.19526836106326323,brain,0.19526836106326323,5.05546138023936,0.19001540053022734,-0.226414235338868,,0.5,2.229189172254812,12
BRD-K49371609,PIK-75,,-0.19440541616514148,brain,0.19440541616514148,5.032502269590668,0.1891524556321056,-0.1853068513559828,,0.5,2.219746644525899,13
BRD-A52530684,doxorubicin,,-0.19163854253351653,brain,0.19163854253351653,4.958888116476498,0.18638558200048064,-0.17676818540338973,,0.5,2.1894709211907433,14
BRD-K04548931,epirubicin,,-0.18906521687030609,brain,0.18906521687030609,4.890423410600882,0.1838122563372702,-0.178816568424669,,0.5,2.161313041141534,15
BRD-K43389675,daunorubicin,,-0.18487899760016113,brain,0.18487899760016113,4.779046807491993,0.17962603706712524,-0.1695272922705733,,0.5,2.115506534116935,16
BRD-A18497530,5-iodotubercidin,0.0032567756707023504,-0.1812558538921153,brain,0.18451262956281764,4.769299389869128,0.17925966902978174,-0.1661882388836114,,0.5,2.111497656656586,17
BRD-K02130563,panobinostat,0.08535353321370784,-0.09659503024945484,brain,0.18194856346316268,4.70108103963533,0.1766956029301268,-0.07529591086101065,,0.5,2.08344109673317,18
